group_id,group_title,product_id,sku,aanddmodern_product_id
57,All - black and white,6259,08-FMI10089,272
89,COM & RUSH,6259,08-FMI10089,272
89,COM & RUSH,6259,08-FMI10089,272
57,All - black and white,6254,08-FMI2206,273
57,All - black and white,6255,08-FMI2207,274
57,All - black and white,6253,08-FMI9010,275
53,"All - Bed sizes K, cK",5049,10G-G0027,294
53,"All - Bed sizes K, cK",5055,10G-G0027DW,295
56,11I Innovation polyester,5837,11I-94-7410100205,317
75,11I Innovation faux leather,5837,11I-94-7410100205,317
89,COM & RUSH,5837,11I-94-7410100205,317
89,COM & RUSH,5837,11I-94-7410100205,317
56,11I Innovation polyester,5838,11I-94-7410100275,318
75,11I Innovation faux leather,5838,11I-94-7410100275,318
89,COM & RUSH,5838,11I-94-7410100275,318
89,COM & RUSH,5838,11I-94-7410100275,318
56,11I Innovation polyester,5836,11I-94-7410105,319
75,11I Innovation faux leather,5836,11I-94-7410105,319
89,COM & RUSH,5836,11I-94-7410105,319
89,COM & RUSH,5836,11I-94-7410105,319
56,11I Innovation polyester,5835,11I-94-7410115,320
75,11I Innovation faux leather,5835,11I-94-7410115,320
89,COM & RUSH,5835,11I-94-7410115,320
89,COM & RUSH,5835,11I-94-7410115,320
75,11I Innovation faux leather,5818,11I-94-7480820045,329
75,11I Innovation faux leather,5841,11I-94-74808235,330
50,01A Aeon Standard Leather,5109,13J-M245-ORN,343
89,COM & RUSH,5109,13J-M245-ORN,343
89,COM & RUSH,5109,13J-M245-ORN,343
31,16M Modway Fabrics B (Christopher),4875,16M-EEI-101,345
57,All - black and white,4883,16M-EEI-1010,346
31,16M Modway Fabrics B (Christopher),4873,16M-EEI-1011,347
57,All - black and white,4879,16M-EEI-1012,348
6,All - marble,6087,16M-EEI-1116,353
6,All - marble,4913,16M-EEI-1134,369
89,COM & RUSH,4913,16M-EEI-1134,369
89,COM & RUSH,4913,16M-EEI-1134,369
39,22S Shenzhen Brother 2: Cashmere,5481,16M-EEI-115,376
40,22S Shenzhen Brother 4: Camira Hemp,5481,16M-EEI-115,376
43,16M Modway Furniture Tulip Fabrics,5481,16M-EEI-115,376
77,22S Shenzhen Brother 1: Cashmere blend,5481,16M-EEI-115,376
81,22S Shenzhen Brother 3: Camira,5481,16M-EEI-115,376
89,COM & RUSH,5481,16M-EEI-115,376
89,COM & RUSH,5481,16M-EEI-115,376
94,16M Modway Furniture Tulip Vinyl,5481,16M-EEI-115,376
39,22S Shenzhen Brother 2: Cashmere,5483,16M-EEI-115x2,377
40,22S Shenzhen Brother 4: Camira Hemp,5483,16M-EEI-115x2,377
43,16M Modway Furniture Tulip Fabrics,5483,16M-EEI-115x2,377
77,22S Shenzhen Brother 1: Cashmere blend,5483,16M-EEI-115x2,377
81,22S Shenzhen Brother 3: Camira,5483,16M-EEI-115x2,377
89,COM & RUSH,5483,16M-EEI-115x2,377
89,COM & RUSH,5483,16M-EEI-115x2,377
94,16M Modway Furniture Tulip Vinyl,5483,16M-EEI-115x2,377
39,22S Shenzhen Brother 2: Cashmere,5485,16M-EEI-115x4,378
40,22S Shenzhen Brother 4: Camira Hemp,5485,16M-EEI-115x4,378
43,16M Modway Furniture Tulip Fabrics,5485,16M-EEI-115x4,378
77,22S Shenzhen Brother 1: Cashmere blend,5485,16M-EEI-115x4,378
81,22S Shenzhen Brother 3: Camira,5485,16M-EEI-115x4,378
89,COM & RUSH,5485,16M-EEI-115x4,378
